employee_id,salary_system,salary_received,salary_difference,checker_approved,signer_approved,fraud_flag,fraud_probability
EMP1077,6700000,5330730,1369270,1,0,1,
EMP1078,9000000,9000000,0,1,1,0,
EMP1079,6700000,6700000,0,1,1,0,
EMP1080,6700000,6700000,0,1,1,0,
EMP1081,6700000,6700000,0,1,1,0,
EMP1082,4500000,4500000,0,1,1,0,
EMP1083,4500000,3551126,948874,1,0,1,
EMP1084,4500000,4500000,0,1,1,0,
EMP1085,9000000,7646501,1353499,1,0,1,
EMP1086,14000000,12476020,1523980,1,0,1,
EMP1087,6700000,6700000,0,1,1,0,
EMP1088,6700000,6081967,618033,1,0,1,
EMP1089,9000000,9000000,0,1,1,0,
EMP1090,6700000,6700000,0,1,1,0,
EMP1091,4500000,4500000,0,1,1,0,
EMP1092,14000000,12869735,1130265,1,0,1,
EMP1093,11500000,10386843,1113157,1,0,1,
EMP1094,6700000,5378894,1321106,1,0,1,
EMP1095,4500000,2784498,1715502,1,0,1,
EMP1096,11500000,10139880,1360120,1,0,1,
EMP1097,14000000,13068266,931734,1,0,1,
EMP1098,11500000,9578204,1921796,1,0,1,
EMP1099,4500000,3334373,1165627,1,0,1,
EMP1100,11500000,11500000,0,1,1,0,
EMP1101,9000000,9000000,0,1,1,0,
EMP1102,11500000,10778103,721897,1,0,1,
EMP1103,6700000,6700000,0,1,1,0,
EMP1104,6700000,6700000,0,1,1,0,
EMP1105,9000000,8498938,501062,1,0,1,
EMP1106,4500000,4500000,0,1,1,0,
EMP1107,6700000,6700000,0,1,1,0,
EMP1108,14000000,12203688,1796312,1,0,1,
EMP1109,6700000,6104538,595462,1,0,1,
EMP1110,6700000,6700000,0,1,1,0,
EMP1111,4500000,2551979,1948021,1,0,1,
EMP1112,11500000,9501415,1998585,1,0,1,
EMP1113,6700000,6700000,0,1,1,0,
EMP1114,9000000,9000000,0,1,1,0,
EMP1115,11500000,10229827,1270173,1,0,1,
EMP1116,14000000,14000000,0,1,1,0,
EMP1117,4500000,4500000,0,1,1,0,
EMP1118,14000000,14000000,0,1,1,0,
EMP1119,11500000,11500000,0,1,1,0,
EMP1120,11500000,11500000,0,1,1,0,
EMP1121,11500000,11500000,0,1,1,0,
EMP1122,14000000,14000000,0,1,1,0,
EMP1123,11500000,11500000,0,1,1,0,
EMP1124,14000000,12927797,1072203,1,0,1,
EMP1125,11500000,11500000,0,1,1,0,
EMP1126,9000000,7184648,1815352,1,0,1,
EMP1127,11500000,11500000,0,1,1,0,
EMP1128,14000000,12841044,1158956,1,0,1,
EMP1129,6700000,6700000,0,1,1,0,
EMP1130,11500000,9579501,1920499,1,0,1,
EMP1131,6700000,4752040,1947960,1,0,1,
EMP1132,9000000,9000000,0,1,1,0,
EMP1133,4500000,3468151,1031849,1,0,1,
EMP1134,9000000,9000000,0,1,1,0,
EMP1135,11500000,11500000,0,1,1,0,
EMP1136,6700000,6700000,0,1,1,0,
EMP1137,6700000,6700000,0,1,1,0,
EMP1138,14000000,14000000,0,1,1,0,
EMP1139,6700000,6700000,0,1,1,0,
EMP1140,14000000,13032990,967010,1,0,1,
EMP1141,4500000,4500000,0,1,1,0,
EMP1142,11500000,11500000,0,1,1,0,
EMP1143,14000000,14000000,0,1,1,0,
EMP1144,4500000,4500000,0,1,1,0,
EMP1145,6700000,6700000,0,1,1,0,
EMP1146,6700000,5813807,886193,1,0,1,
EMP1147,4500000,4500000,0,1,1,0,
EMP1148,9000000,9024464,24464,1,1,0,
EMP1149,14000000,13999722,278,1,1,0,
EMP1150,9000000,7965532,1034468,0,0,1,
EMP1151,14000000,10668676,3331324,1,0,1,
EMP1152,4500000,2955180,1544820,0,1,1,
EMP1153,6700000,5587040,1112960,0,0,1,
EMP1154,14000000,14016654,16654,1,1,0,
EMP1155,11500000,11512176,12176,1,1,0,
EMP1156,4500000,4302913,197087,1,0,0,
EMP1157,11500000,12482004,982004,0,1,0,
EMP1158,14000000,11903244,2096756,1,0,0,
EMP1159,14000000,14014076,14076,1,1,0,
EMP1160,11500000,11397118,102882,1,1,0,
EMP1161,9000000,8990477,9523,1,1,0,
EMP1162,11500000,10727389,772611,1,1,0,
EMP1163,9000000,8984587,15413,1,1,0,
EMP1164,6700000,6268799,431201,1,1,0,
EMP1165,11500000,12837823,1337823,1,0,0,
EMP1166,6700000,6212436,487564,0,0,0,
EMP1167,6700000,5875522,824478,0,0,1,
EMP1168,14000000,13068800,931200,1,1,0,
EMP1169,9000000,4529296,4470704,0,1,1,
EMP1170,4500000,3426623,1073377,0,0,1,
EMP1171,9000000,8989231,10769,1,1,0,
EMP1172,14000000,11697975,2302025,0,0,1,
EMP1173,4500000,4482551,17449,1,1,0,
EMP1174,4500000,4413024,86976,1,0,0,
EMP1175,6700000,6374806,325194,1,1,0,
EMP1176,11500000,11476755,23245,1,1,0,
EMP1177,9000000,5862329,3137671,0,1,1,
EMP1178,4500000,4524582,24582,1,1,0,
EMP1179,14000000,13740276,259724,1,1,0,
EMP1180,4500000,2416097,2083903,0,0,1,
EMP1181,6700000,6688384,11616,1,1,0,
EMP1182,11500000,11496862,3138,1,1,0,
EMP1183,14000000,15112973,1112973,0,0,0,
EMP1184,6700000,5386100,1313900,0,0,1,
EMP1185,6700000,6853989,153989,1,0,0,
EMP1186,9000000,8599815,400185,1,1,0,
EMP1187,14000000,11706532,2293468,1,0,1,
EMP1188,9000000,8994945,5055,1,1,0,
EMP1189,9000000,9006320,6320,1,1,0,
EMP1190,11500000,9878314,1621686,0,1,0,
EMP1191,4500000,4522921,22921,1,1,0,
EMP1192,6700000,7155584,455584,1,1,1,
EMP1193,4500000,4230017,269983,1,1,0,
EMP1194,11500000,12536350,1036350,0,1,1,
EMP1195,9000000,9005297,5297,1,1,0,
